grosswage_ln,meanwage_ln,residual_ln,indreg_size_ind,nr_totfirms_reg,singleind,sdemployer,log_indfirms,nr_ind_in_reg,ent,ratio_foreign,ratio_noprofit
1,0,0,0,0,0,0,0,0,0,0,0
0.633026504403258,1,0,0,0,0,0,0,0,0,0,0
0.208788605586417,-0.34679552347223,1,0,0,0,0,0,0,0,0,0
0.12322971774559,0.0777618589283473,0.0119212786838444,1,0,0,0,0,0,0,0,0
0.198026822375455,0.151317264054214,0.0027265952718845,0.47930951288113,1,0,0,0,0,0,0,0
-0.259945683545853,-0.0697617314070755,-0.172294435866904,-0.0767131666387018,-0.0752845669086473,1,0,0,0,0,0,0
0.110240818832273,0.14473251361946,-0.0931938522934734,0.226211507653773,0.0813756864913032,-0.118361676824594,1,0,0,0,0,0
0.250121420738335,0.0233732994979545,0.227350920164152,0.34846504440818,0.272673428073917,-0.575640195973857,0.0392661443355168,1,0,0,0,0
0.275296004977309,0.274631811355096,-0.0272321829426673,0.228310216468323,0.474519679745055,-0.127037366388799,0.107920599442073,0.32883031165476,1,0,0,0
0.166113773114984,0.166052143343614,-0.0112385043841695,0.0847584723417513,0.201929817923461,-0.0921135375168337,0.0135421016943755,0.20018093680409,0.626902966261299,1,0,0
0.210954265842277,0.295513088800336,-0.136833898366586,0.0358338159297747,0.0841902713262308,0.0543647045892632,0.105162174924594,-0.0745893610267059,0.137674981632222,0.0720232510908053,1,0
0.0761519396049488,-0.0899003639753332,0.277879487684162,-0.0168290452989732,-0.0225716275670584,-0.0432425090629667,-0.0502971118036642,0.0942976986735424,-0.0289654843247914,-0.00779081386235692,-0.0855667300726506,1
