grosswage_ln,meanwage_ln,residual_ln,indreg_size_ind,nr_totfirms_reg,singleind,sdemployer,log_indfirms,nr_ind_in_reg,ent,ratio_foreign,ratio_noprofit
1,0,0,0,0,0,0,0,0,0,0,0
0.606110007766819,1,0,0,0,0,0,0,0,0,0,0
0.251578244053704,-0.346289196231643,1,0,0,0,0,0,0,0,0,0
0.144404199309932,0.0865265586022163,0.0147775884336392,1,0,0,0,0,0,0,0,0
0.225978490150616,0.155940976849493,0.0111989000600528,0.531632801699358,1,0,0,0,0,0,0,0
-0.291298951969086,-0.106860161769497,-0.169446350048013,-0.0792884614124054,-0.0857773607477977,1,0,0,0,0,0,0
0.107478742334516,0.186681571756046,-0.132799879489198,0.176855479217005,0.0909432272105769,-0.115400809045054,1,0,0,0,0,0
0.277744546473573,0.0656473818549515,0.212689152466679,0.415921941537812,0.347128804859575,-0.53198073528214,0.0295834504188581,1,0,0,0,0
0.296666622608559,0.264934862826315,0.0104223200109532,0.257395063094997,0.464400160975987,-0.166722174890685,0.136547753447529,0.416213832848183,1,0,0,0
0.220214741291653,0.190750563584559,0.0129955626585546,0.144314313149812,0.263307571820656,-0.142547684322211,0.066633814358721,0.324595025340075,0.76047143699466,1,0,0
0.0459128494683131,0.0430592861500692,-0.0110816844045423,0.0256628809815351,0.195594662204461,-0.00366619669206062,0.00968598788137473,0.0175225964909209,0.0733261245841401,0.0371312107746678,1,0
0.0929080502775466,-0.0686926478118835,0.245418323282467,-0.0273185507521047,-0.0397750659183332,-0.0660368723928588,-0.0704412577537925,0.0621000990746941,-0.0612369371607899,-0.0299502382010861,-0.00887805429414962,1
